timestamp,time,rrd_in_bps,rrd_out_bps,iperf_server_in_bps,iperf_server_out_bps
1760513580,2025-10-15 14:33:00,1417003.7333333334,112066.66666666667,9964057.257659396,
1760513610,2025-10-15 14:33:30,10380663.466666667,81309.06666666667,10000046.072880661,
1760513640,2025-10-15 14:34:00,10348828.0,77815.2,10001652.164235638,
1760513670,2025-10-15 14:34:30,10369045.866666667,81169.06666666667,10001214.45964004,
1760513700,2025-10-15 14:35:00,10346995.466666667,82409.33333333333,10001651.812454764,
1760513730,2025-10-15 14:35:30,10337690.133333333,75222.66666666667,10000465.575313807,
1760513760,2025-10-15 14:36:00,10344097.866666667,80841.86666666667,9999671.724975731,
1760513790,2025-10-15 14:36:30,10342689.6,76380.8,10001262.21994589,
1760513820,2025-10-15 14:37:00,10349939.466666667,88057.86666666667,10001241.62815521,
1760513850,2025-10-15 14:37:30,10341518.933333334,77032.8,10000063.800629148,
1760513880,2025-10-15 14:38:00,10353037.333333334,96925.06666666667,10001258.465869593,
1760513910,2025-10-15 14:38:30,10348730.4,78080.26666666666,10000457.75714857,
1760513940,2025-10-15 14:39:00,10356536.533333333,84976.0,10000457.4979253,
1760513970,2025-10-15 14:39:30,10342132.8,78724.26666666666,10000476.236781694,
1760514000,2025-10-15 14:40:00,10343920.533333333,81990.13333333333,10000864.018851085,
1760514030,2025-10-15 14:40:30,10338713.333333334,76912.8,10000060.371005,
1760514060,2025-10-15 14:41:00,10343940.266666668,78951.2,10000488.330287516,
1760514090,2025-10-15 14:41:30,10343601.6,75704.8,10000062.23989636,
1760514120,2025-10-15 14:42:00,10343285.333333334,86018.66666666667,10000105.319366703,
1760514150,2025-10-15 14:42:30,10341485.066666666,77978.66666666667,10000063.125369446,
1760514180,2025-10-15 14:43:00,10361528.266666668,105610.13333333333,10001619.003247822,
1760514210,2025-10-15 14:43:30,10347971.466666667,80716.8,9999721.740771,
1760514240,2025-10-15 14:44:00,10352758.933333334,80577.33333333333,10000052.949820608,
1760514270,2025-10-15 14:44:30,10350614.133333333,80020.8,10001248.261493273,
1760514300,2025-10-15 14:45:00,10341943.733333332,78074.66666666667,10000073.79482941,
1760514330,2025-10-15 14:45:30,10341015.466666667,75799.73333333334,10000491.372253023,
1760514360,2025-10-15 14:46:00,10350026.133333333,85014.4,10000462.722111145,
1760514390,2025-10-15 14:46:30,10360495.466666667,97272.0,10000471.623795593,
1760514420,2025-10-15 14:47:00,10355712.0,92564.26666666666,9999290.73641888,
1760514450,2025-10-15 14:47:30,10013733.866666667,86373.15555555555,9999748.530900883,
1760514480,2025-10-15 14:48:00,10354235.377777778,87677.86666666665,9996928.839103973,
1760514510,2025-10-15 14:48:30,10369021.066666665,102310.4888888889,10002041.551589733,
1760514540,2025-10-15 14:49:00,10355567.377777778,85412.62222222223,9998904.698503666,
1760514570,2025-10-15 14:49:30,10345042.844444446,78934.57777777778,10001257.973760864,
1760514600,2025-10-15 14:50:00,10338643.644444443,75517.06666666668,9999712.206868907,
1760514630,2025-10-15 14:50:30,10340392.088888887,74868.62222222223,9999659.832835091,
1760514660,2025-10-15 14:51:00,10340854.666666666,78446.84444444445,9998917.821755983,
1760514690,2025-10-15 14:51:30,10343084.71111111,78030.13333333335,10000856.936534278,
1760514720,2025-10-15 14:52:00,10343439.377777778,82701.51111111112,10000102.0064767,
1760514750,2025-10-15 14:52:30,10344789.77777778,74955.28888888888,9999292.20856707,
1760514780,2025-10-15 14:53:00,10340548.355555557,77183.2888888889,10000484.578432059,
1760514810,2025-10-15 14:53:30,10354509.333333336,100628.08888888889,9999699.438644426,
1760514840,2025-10-15 14:54:00,10352260.800000003,78155.82222222221,10000061.233372087,
1760514870,2025-10-15 14:54:30,10344559.022222223,77220.8888888889,9999694.856312161,
1760514900,2025-10-15 14:55:00,10344450.844444444,79677.42222222222,10000473.907323245,
1760514930,2025-10-15 14:55:30,10343160.355555557,79779.73333333332,9999693.997990096,
1760514960,2025-10-15 14:56:00,10340984.62222222,79432.08888888889,9999691.0403854,
1760514990,2025-10-15 14:56:30,10355445.333333334,91940.00000000001,9999718.10364936,
1760515020,2025-10-15 14:57:00,10362424.8,97833.42222222223,10000466.594632516,
1760515050,2025-10-15 14:57:30,10357361.333333334,90145.24444444446,10000087.864352541,
1760515080,2025-10-15 14:58:00,10357125.777777778,94553.51111111112,9999687.393427866,
1760515110,2025-10-15 14:58:30,10370666.311111111,109631.02222222222,9999673.513184441,
1760515140,2025-10-15 14:59:00,10710041.511111112,88762.22222222223,9999716.99243111,
1760515170,2025-10-15 14:59:30,10363812.266666668,108311.46666666666,10000482.048282273,
1760515200,2025-10-15 15:00:00,10351878.666666666,81411.46666666666,9999660.636986611,
1760515230,2025-10-15 15:00:30,10354187.466666667,91690.4,10000105.447089938,
1760515260,2025-10-15 15:01:00,10354439.2,87030.93333333333,10000092.89374399,
1760515290,2025-10-15 15:01:30,10387406.666666666,113125.06666666667,9999685.141902013,
1760515320,2025-10-15 15:02:00,10362300.533333333,103256.26666666666,10000074.974990873,
1760515350,2025-10-15 15:02:30,10354610.133333333,91133.33333333333,9999685.736461695,
1760515380,2025-10-15 15:03:00,8781342.133333333,1753181.8666666667,9999459.433196,9999585.800723879
1760515410,2025-10-15 15:03:30,70252.53333333334,10584032.8,,10000078.929795468
1760515440,2025-10-15 15:04:00,71221.86666666667,10587317.866666667,,9999681.611685278
1760515470,2025-10-15 15:04:30,58769.333333333336,10570789.6,,10000080.741019187
1760515500,2025-10-15 15:05:00,61668.53333333333,10573920.266666668,,10000097.899020147
1760515530,2025-10-15 15:05:30,54496.53333333333,10570283.2,,10000068.780883405
1760515560,2025-10-15 15:06:00,61074.666666666664,10578364.0,,10000078.5341175
1760515590,2025-10-15 15:06:30,61545.333333333336,10575867.2,,9999706.269025426
1760515620,2025-10-15 15:07:00,69066.66666666667,10592386.4,,10000066.760904716
1760515650,2025-10-15 15:07:30,59962.13333333333,10573069.866666667,,10000089.486397844
1760515680,2025-10-15 15:08:00,58990.933333333334,10576278.933333334,,10000093.472867286
1760515710,2025-10-15 15:08:30,60321.333333333336,10573501.6,,9999676.71370642
1760515740,2025-10-15 15:09:00,75994.66666666667,10599862.933333334,,10000080.509230575
1760515770,2025-10-15 15:09:30,56866.933333333334,10571215.2,,10000096.356867267
1760515800,2025-10-15 15:10:00,63701.86666666667,10581857.333333334,,10000094.504405303
1760515830,2025-10-15 15:10:30,57146.933333333334,10571861.333333334,,10000076.08049982
1760515860,2025-10-15 15:11:00,60729.86666666667,10577170.133333333,,9999671.957796996
1760515890,2025-10-15 15:11:30,59991.73333333333,10573127.466666667,,10000073.224840512
1760515920,2025-10-15 15:12:00,66721.06666666667,10583355.466666667,,10000107.897604149
1760515950,2025-10-15 15:12:30,58862.933333333334,10576759.466666667,,10000073.470857123
1760515980,2025-10-15 15:13:00,58521.066666666666,10574137.066666666,,10000073.574543035
1760516010,2025-10-15 15:13:30,60828.8,10572507.733333332,,9999696.977173947
1760516040,2025-10-15 15:14:00,74441.6,10595368.0,,10000088.077407341
1760516070,2025-10-15 15:14:30,60818.4,10580791.733333332,,10000088.461285518
1760516100,2025-10-15 15:15:00,63372.8,10582032.8,,10000063.501914868
1760516130,2025-10-15 15:15:30,62023.2,10577905.333333334,,10000085.940899644
1760516160,2025-10-15 15:16:00,68605.06666666667,10581320.266666668,,9999686.895199306
1760516190,2025-10-15 15:16:30,55880.8,10566213.6,,10000083.436817411
1760516220,2025-10-15 15:17:00,46061.066666666666,10568693.866666667,,10000080.419187747
1760516250,2025-10-15 15:17:30,44818.666666666664,10562988.8,,10000081.506010694
1760516280,2025-10-15 15:18:00,47235.73333333333,10566392.0,,10000080.25575567
1760516310,2025-10-15 15:18:30,46759.73333333333,10562797.866666667,,9999698.638019603
1760516340,2025-10-15 15:19:00,61727.73333333333,10578893.6,,10000078.834309641
1760516370,2025-10-15 15:19:30,46481.6,10568412.266666668,,10000084.406837773
1760516400,2025-10-15 15:20:00,50974.933333333334,10567297.333333334,,10000090.124351632
1760516430,2025-10-15 15:20:30,45157.86666666667,10562806.666666666,,9999701.009184431
1760516460,2025-10-15 15:21:00,792527.4666666667,10582652.533333333,,10000067.75265682
1760516490,2025-10-15 15:21:30,58120.26666666667,10575222.666666666,,10000088.150091717
1760516520,2025-10-15 15:22:00,84254.93333333333,10595971.466666667,,10000094.70698725
1760516550,2025-10-15 15:22:30,60054.933333333334,10574766.666666666,,10000067.732128529
1760516580,2025-10-15 15:23:00,51296.8,10571878.4,,9999713.619559484
1760516610,2025-10-15 15:23:30,62836.0,10576307.2,,10000054.358830007
1760516640,2025-10-15 15:24:00,63493.86666666667,10577438.666666666,,10000101.362795599
1760516670,2025-10-15 15:24:30,70651.06666666667,10332251.2,,10000062.369841667
1760516700,2025-10-15 15:25:00,54245.2,10831689.6,,10000094.764082503
1760516730,2025-10-15 15:25:30,47113.86666666667,10564024.266666668,,9999688.901265444
1760516760,2025-10-15 15:26:00,46045.333333333336,10563906.4,,10000073.127436409
1760516790,2025-10-15 15:26:30,45771.0,10298851.866666667,,10000087.077232
1760516820,2025-10-15 15:27:00,47493.177777777775,10483894.444444444,,10000086.906305103
1760516850,2025-10-15 15:27:30,61646.75555555556,10585158.666666664,,10000078.420276996
1760516880,2025-10-15 15:28:00,62775.555555555555,10577255.644444443,,9999676.990563056
1760516910,2025-10-15 15:28:30,71043.91111111111,10673161.444444446,,10000085.527776925
1760516940,2025-10-15 15:29:00,66974.66666666667,10488666.822222224,,10000087.408851573
1760516970,2025-10-15 15:29:30,74484.62222222221,10594779.28888889,,10000077.754436512
1760517000,2025-10-15 15:30:00,65851.46666666667,10577632.355555555,,9999698.562211636
1760517030,2025-10-15 15:30:30,65629.95555555556,10583875.822222224,,10000084.188278621
1760517060,2025-10-15 15:31:00,63461.59999999999,10574849.511111112,,10000085.355695333
1760517090,2025-10-15 15:31:30,63788.88888888888,10575900.8,,10000064.61875993
1760517120,2025-10-15 15:32:00,60414.222222222226,10578250.4,,10000106.553751111
1760517150,2025-10-15 15:32:30,66530.75555555556,10580562.044444444,,9999685.723127108
1760517180,2025-10-15 15:33:00,66217.59999999999,10009939.91111111,,10003712.244349616
