timestamp,time,rrd_in_bps,rrd_out_bps,iperf_server_in_bps,iperf_server_out_bps,cpu_load,mem_avail,mem_total,mem_cached,mem_buffer,mem_free,mem_avail_swap,mem_total_swap,swap_in,swap_out,io_sent,io_received
1761063030,2025-10-21 23:10:30,10905097.866666667,12848.266666666666,9998860.051705085,,166.0,1747012.0,7984784.0,2275960.0,202084.0,5941312.0,4194300.0,4194300.0,0.0,0.0,568.8,0.0
1761063060,2025-10-21 23:11:00,10908888.8,11064.533333333333,9999206.866045386,,140.0,1743820.0,7984784.0,2275976.0,202196.0,5938120.0,4194300.0,4194300.0,0.0,0.0,194.4,0.0
1761063090,2025-10-21 23:11:30,10898031.733333332,10961.066666666668,9991002.367410557,,124.0,1743372.0,7984784.0,2275996.0,202316.0,5937672.0,4194300.0,4194300.0,0.0,0.0,258.1333333333333,0.0
1761063120,2025-10-21 23:12:00,10908201.333333334,9909.866666666667,9999526.813084068,,114.0,1743120.0,7984784.0,2275996.0,202436.0,5937420.0,4194300.0,4194300.0,0.0,0.0,230.13333333333333,0.0
1761063150,2025-10-21 23:12:30,10907508.8,11406.4,9998855.907202633,,108.0,1748644.0,7984784.0,2275892.0,202548.0,5942944.0,4194300.0,4194300.0,0.0,0.0,287.2,0.0
1761063180,2025-10-21 23:13:00,10907530.666666666,10173.6,9999195.430093594,,105.0,1762188.0,7984784.0,2275612.0,202708.0,5956488.0,4194300.0,4194300.0,0.0,0.0,190.66666666666666,0.0
1761063210,2025-10-21 23:13:30,10892738.666666666,18327.466666666667,9984775.786857724,,102.0,1779340.0,7984784.0,2275268.0,202820.0,5973640.0,4194300.0,4194300.0,0.0,0.0,271.46666666666664,0.0
1761063240,2025-10-21 23:14:00,10900850.4,15262.4,9993966.47906739,,117.0,1775216.0,7984784.0,2275144.0,202932.0,5969516.0,4194300.0,4194300.0,0.0,0.0,199.46666666666667,0.0
1761063270,2025-10-21 23:14:30,10906864.0,18320.8,9998866.396712312,,110.0,1782140.0,7984784.0,2275124.0,203044.0,5976440.0,4194300.0,4194300.0,0.0,0.0,284.26666666666665,0.0
1761063300,2025-10-21 23:15:00,10914469.066666666,17381.6,9999522.689519364,,120.0,1779356.0,7984784.0,2275144.0,203156.0,5973656.0,4194300.0,4194300.0,0.0,0.0,320.8,0.0
1761063330,2025-10-21 23:15:30,10904640.533333333,12075.466666666667,9999194.795115294,,191.0,1778960.0,7984784.0,2275140.0,203268.0,5973260.0,4194300.0,4194300.0,0.0,0.0,555.7333333333333,0.0
1761063360,2025-10-21 23:16:00,10907739.466666667,10184.266666666666,9999522.127768792,,162.0,1772416.0,7984784.0,2275164.0,203380.0,5966716.0,4194300.0,4194300.0,0.0,0.0,188.8,0.0
1761063390,2025-10-21 23:16:30,10904621.866666667,11165.6,9998862.015923211,,143.0,1771940.0,7984784.0,2275168.0,203492.0,5966240.0,4194300.0,4194300.0,0.0,0.0,228.53333333333333,0.0
1761063420,2025-10-21 23:17:00,10553976.258064516,10089.290322580646,10000195.883262279,,126.0,1773860.0,7984784.0,2275300.0,203628.0,5968160.0,4194300.0,4194300.0,0.0,0.0,208.53333333333333,0.0
1761063450,2025-10-21 23:17:30,11217346.141935484,11188.576344086023,9961878.940488182,,115.0,1773084.0,7984784.0,2275300.0,203740.0,5967384.0,4194300.0,4194300.0,0.0,0.0,227.2,0.0
1761063480,2025-10-21 23:18:00,10554288.258064516,10201.548387096775,9999526.830249546,,109.0,1771348.0,7984784.0,2275184.0,203924.0,5965648.0,4194300.0,4194300.0,0.0,0.0,284.26666666666665,0.0
1761063510,2025-10-21 23:18:30,10892766.986379927,17724.84272401434,9998870.50257132,,113.0,1770144.0,7984784.0,2275220.0,204036.0,5964444.0,4194300.0,4194300.0,0.0,0.0,318.1333333333333,0.0
1761063540,2025-10-21 23:19:00,11274634.88888889,16669.07555555556,9999514.436143437,,113.0,1770144.0,7984784.0,2275252.0,204132.0,5964444.0,4194300.0,4194300.0,0.0,0.0,207.46666666666667,0.0
1761063570,2025-10-21 23:19:30,10907234.666666666,18840.533333333333,9999861.241874214,,107.0,1768996.0,7984784.0,2275260.0,204244.0,5963296.0,4194300.0,4194300.0,0.0,0.0,289.6,0.0
1761063600,2025-10-21 23:20:00,10552785.548387097,10287.225806451614,9998865.883427488,,110.0,1774428.0,7984784.0,2275296.0,204356.0,5968728.0,4194300.0,4194300.0,0.0,0.0,243.46666666666667,0.0
1761063630,2025-10-21 23:20:30,10878281.59827957,17544.93419354839,9996233.814651808,,106.0,1773116.0,7984784.0,2275312.0,204468.0,5967416.0,4194300.0,4194300.0,0.0,0.0,598.4,0.0
1761063660,2025-10-21 23:21:00,10204164.453333335,11682.773333333334,9884562.756828075,,153.0,1771012.0,7984784.0,2275320.0,204580.0,5965312.0,4194300.0,4194300.0,0.0,0.0,202.93333333333334,0.0
1761063690,2025-10-21 23:21:30,11921893.2,12178.666666666666,10050961.247265594,,132.0,1770260.0,7984784.0,2275328.0,204692.0,5964560.0,4194300.0,4194300.0,0.0,0.0,263.46666666666664,0.0
1761063720,2025-10-21 23:22:00,10906153.066666666,11266.666666666666,10001493.970128769,,130.0,1773508.0,7984784.0,2275332.0,204812.0,5967808.0,4194300.0,4194300.0,0.0,0.0,354.93333333333334,0.0
1761063750,2025-10-21 23:22:30,10887686.666666666,10826.933333333332,9982821.365858655,,118.0,1774136.0,7984784.0,2275344.0,204932.0,5968436.0,4194300.0,4194300.0,0.0,0.0,95.2,0.0
1761063780,2025-10-21 23:23:00,10554521.032258065,10154.58064516129,9995925.088526852,,110.0,1775408.0,7984784.0,2275348.0,205092.0,5969708.0,4194300.0,4194300.0,0.0,0.0,335.2,0.0
1761063810,2025-10-21 23:23:30,10896391.109964158,17227.312688172045,10001803.745294947,,106.0,1782780.0,7984784.0,2275372.0,205204.0,5977080.0,4194300.0,4194300.0,0.0,0.0,135.46666666666667,0.0
1761063840,2025-10-21 23:24:00,10907225.182222223,14917.137777777778,9995265.094679346,,115.0,1781864.0,7984784.0,2275380.0,205316.0,5976164.0,4194300.0,4194300.0,0.0,0.0,471.2,0.0
1761063870,2025-10-21 23:24:30,11304064.542222222,18267.635555555556,10004774.935158966,,114.0,1779872.0,7984784.0,2275544.0,205428.0,5974172.0,4194300.0,4194300.0,0.0,0.0,96.53333333333333,0.0
